PotÄ™ga,Newton,Polynomials
0,-0.6899547628711082,0.9999999727378903
1,0.9208196165827132,-1.4622987959400646e-8
2,-0.08828985199754016,-0.49999988057927286
3,-0.13196156030264974,7.722844266866424e-8
4,0.029983648276630154,0.04166652715593436
5,0.0008625071458060459,-9.891912357978816e-8
6,-0.0009755275292031528,-0.0013888527947611222
7,0.00012083363027389812,2.673528083665358e-8
8,1.2691343565258583e-6,2.479768353821629e-5
9,-1.8053476501596915e-6,-2.787502399909644e-9
10,1.341085313816717e-7,-2.753021387346908e-7
11,6.124240476563457e-9,1.4716012609952463e-10
12,-1.355888743810136e-9,2.074727826661025e-9
13,5.885914230531968e-11,-4.33857457468276e-12
14,2.041969959543587e-12,-1.107123170754256e-11
15,-3.728916581050099e-13,7.234984617100957e-14
16,1.6054333324693635e-14,4.033875110521279e-14
17,3.6639884291349674e-16,-6.367940508099691e-16
18,-6.706308179357597e-17,-7.779756878396657e-17
19,2.293558046832036e-18,2.293558046832036e-18
